,time,signal2,signal4,signal5,signal6,signal8
0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
1,0.02,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.1111111111111111
2,0.04,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
3,0.06,0.7777777777777778,0.6666666666666666,0.5555555555555556,0.5555555555555556,0.4444444444444444
4,0.08,1.1111111111111112,1.0,0.7777777777777778,0.7777777777777778,0.6666666666666666
5,0.1,1.5555555555555556,1.3333333333333333,1.1111111111111112,1.0,1.0
6,0.12,1.8888888888888888,1.6666666666666667,1.3333333333333333,1.2222222222222223,1.1111111111111112
7,0.14,2.2222222222222223,1.8888888888888888,1.5555555555555556,1.3333333333333333,1.2222222222222223
8,0.16,2.4444444444444446,2.0,1.5555555555555556,1.4444444444444444,1.2222222222222223
9,0.18,2.4444444444444446,2.0,1.5555555555555556,1.3333333333333333,1.2222222222222223
10,0.2,2.4444444444444446,1.7777777777777777,1.3333333333333333,1.2222222222222223,1.1111111111111112
11,0.22,2.2222222222222223,1.5555555555555556,1.2222222222222223,1.1111111111111112,0.8888888888888888
12,0.24,2.0,1.2222222222222223,1.0,1.0,0.7777777777777778
13,0.26,1.8888888888888888,1.0,0.8888888888888888,0.8888888888888888,0.7777777777777778
14,0.28,1.5555555555555556,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.6666666666666666
15,0.3,1.3333333333333333,0.6666666666666666,0.7777777777777778,0.8888888888888888,0.6666666666666666
16,0.32,1.1111111111111112,0.5555555555555556,0.8888888888888888,0.8888888888888888,0.6666666666666666
17,0.34,0.8888888888888888,0.6666666666666666,1.0,0.8888888888888888,0.6666666666666666
18,0.36,0.6666666666666666,0.8888888888888888,1.1111111111111112,0.8888888888888888,0.6666666666666666
19,0.38,0.5555555555555556,1.1111111111111112,1.1111111111111112,0.7777777777777778,0.7777777777777778
20,0.4,0.3333333333333333,1.2222222222222223,1.1111111111111112,0.6666666666666666,0.7777777777777778
21,0.42,0.2222222222222222,1.4444444444444444,1.0,0.6666666666666666,0.7777777777777778
22,0.44,0.1111111111111111,1.4444444444444444,0.8888888888888888,0.6666666666666666,0.7777777777777778
23,0.46,0.0,1.3333333333333333,0.7777777777777778,0.7777777777777778,0.7777777777777778
24,0.48,0.0,1.1111111111111112,0.7777777777777778,0.7777777777777778,0.7777777777777778
25,0.5,0.0,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.7777777777777778
