,signal,time
0,-0.3155555555555556,0.0
1,-0.3155555555555556,0.02
2,-0.09333333333333338,0.04
3,0.1288888888888889,0.06
4,0.3511111111111111,0.08
5,0.6844444444444444,0.1
6,0.9066666666666665,0.12
7,1.1288888888888888,0.14
8,1.1288888888888888,0.16
9,1.1288888888888888,0.18
10,0.9066666666666665,0.2
11,0.7955555555555556,0.22
12,0.5733333333333333,0.24
13,0.46222222222222215,0.26
14,0.3511111111111111,0.28
15,0.3511111111111111,0.3
16,0.46222222222222215,0.32
17,0.5733333333333333,0.34
18,0.6844444444444444,0.36
19,0.6844444444444444,0.38
20,0.6844444444444444,0.4
21,0.5733333333333333,0.42
22,0.46222222222222215,0.44
23,0.3511111111111111,0.46
24,0.3511111111111111,0.48
25,0.3511111111111111,0.5
26,0.46222222222222215,0.52
27,0.46222222222222215,0.54
28,0.5733333333333333,0.56
29,0.46222222222222215,0.58
30,0.46222222222222215,0.6
31,0.23999999999999994,0.62
32,0.1288888888888889,0.64
33,0.017777777777777726,0.66
34,0.017777777777777726,0.68
35,0.1288888888888889,0.7000000000000001
36,0.23999999999999994,0.72
37,0.3511111111111111,0.74
38,0.46222222222222215,0.76
39,0.46222222222222215,0.78
40,0.3511111111111111,0.8
41,0.23999999999999994,0.8200000000000001
42,0.1288888888888889,0.84
43,0.017777777777777726,0.86
44,-0.09333333333333338,0.88
45,0.017777777777777726,0.9
46,0.1288888888888889,0.92
47,0.23999999999999994,0.9400000000000001
48,0.23999999999999994,0.96
49,0.23999999999999994,0.98
50,0.23999999999999994,1.0
51,0.1288888888888889,1.02
52,-0.09333333333333338,1.04
53,-0.20444444444444448,1.06
54,-0.3155555555555556,1.08
55,-0.3155555555555556,1.1
56,-0.4266666666666667,1.12
57,-0.4266666666666667,1.1400000000000001
58,-0.4266666666666667,1.16
59,-0.4266666666666667,1.18
60,-0.4266666666666667,1.2
61,-0.4266666666666667,1.22
62,-0.4266666666666667,1.24
63,-0.4266666666666667,1.26
64,-0.4266666666666667,1.28
65,-0.4266666666666667,1.3
66,-0.4266666666666667,1.32
67,-0.4266666666666667,1.34
68,-0.4266666666666667,1.36
69,-0.4266666666666667,1.3800000000000001
70,-0.4266666666666667,1.4000000000000001
71,-0.4266666666666667,1.42
72,-0.4266666666666667,1.44
73,-0.4266666666666667,1.46
74,-0.4266666666666667,1.48
75,-0.4266666666666667,1.5
76,-0.4266666666666667,1.52
77,-0.4266666666666667,1.54
78,-0.4266666666666667,1.56
79,-0.4266666666666667,1.58
80,-0.4266666666666667,1.6
81,-0.4266666666666667,1.62
82,-0.4266666666666667,1.6400000000000001
83,-0.4266666666666667,1.6600000000000001
84,-0.4266666666666667,1.68
85,-0.4266666666666667,1.7
86,-0.4266666666666667,1.72
87,-0.4266666666666667,1.74
88,-0.4266666666666667,1.76
89,-0.4266666666666667,1.78
90,-0.4266666666666667,1.8
91,-0.4266666666666667,1.82
92,-0.4266666666666667,1.84
93,-0.4266666666666667,1.86
94,-0.4266666666666667,1.8800000000000001
95,-0.4266666666666667,1.9000000000000001
96,-0.4266666666666667,1.92
97,-0.4266666666666667,1.94
98,-0.4266666666666667,1.96
99,-0.4266666666666667,1.98
